card_name,rarity,price_usd,probability,expected_value
Duty Beyond Death,uncommon,0.2,0.03,0.006
"Sarkhan, Dragon Ascendant",rare,0.29,0.016667,0.00483343
Ambling Stormshell,rare,0.15,0.016667,0.00250005
Wingspan Stride,common,0.03,0.104167,0.0031250099999999997
Shock Brigade,common,0.07,0.104167,0.00729169
Unburied Earthcarver,common,0.04,0.104167,0.00416668
Bloodfell Caves,common,0.03,0.104167,0.0031250099999999997
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Delta Bloodflies,common,0.02,0.104167,0.00208334
Unending Whisper,common,0.05,0.104167,0.0052083500000000005
Stormshriek Feral // Flush Out,common,0.07,0.104167,0.00729169
Piercing Exhale,common,0.03,0.104167,0.0031250099999999997
Dragonback Lancer,common,0.04,0.104167,0.00416668
Rite of Renewal,uncommon,0.04,0.03,0.0012
Frontier Bivouac,uncommon,0.12,0.03,0.0036
Karakyk Guardian,uncommon,0.08,0.03,0.0024
"Ureni, the Song Unending",mythic,3.49,0.00625,0.021812500000000002
Salt Road Packbeast,common,0.04,0.104167,0.00416668
Riverwalk Technique,common,0.05,0.104167,0.0052083500000000005
Dragonback Lancer,common,0.04,0.104167,0.00416668
Kin-Tree Nurturer,common,0.02,0.104167,0.00208334
Rescue Leopard,common,0.03,0.104167,0.0031250099999999997
Thornwood Falls,common,0.04,0.104167,0.00416668
Dusyut Earthcarver,common,0.01,0.104167,0.00104167
Delta Bloodflies,common,0.02,0.104167,0.00208334
Abzan Devotee,common,0.01,0.104167,0.00104167
Sagu Wildling // Roost Seek,common,0.04,0.104167,0.00416668
Twin Bolt,common,0.02,0.104167,0.00208334
Yathan Tombguard,uncommon,0.09,0.03,0.0026999999999999997
Sage of the Fang,uncommon,0.05,0.03,0.0015
Frontier Bivouac,uncommon,0.12,0.03,0.0036
"Ureni, the Song Unending",mythic,3.49,0.00625,0.021812500000000002
Reigning Victor,common,0.06,0.104167,0.006250019999999999
Snakeskin Veil,common,0.06,0.104167,0.006250019999999999
Wild Ride,common,0.09,0.104167,0.00937503
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Sagu Pummeler,common,0.02,0.104167,0.00208334
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Dragon's Prey,common,0.02,0.104167,0.00208334
Lightfoot Technique,common,0.03,0.104167,0.0031250099999999997
Island,common,0.09,0.104167,0.00937503
Thornwood Falls,common,0.04,0.104167,0.00416668
Shock Brigade,common,0.07,0.104167,0.00729169
Runescale Stormbrood // Chilling Screech,uncommon,0.08,0.03,0.0024
Marshal of the Lost,uncommon,0.09,0.03,0.0026999999999999997
Furious Forebear,uncommon,0.03,0.03,0.0009
Dalkovan Encampment,rare,0.43,0.016667,0.00716681
The Sibsig Ceremony,rare,0.47,0.016667,0.00783349
Heritage Reclamation,common,0.12,0.104167,0.012500039999999999
Undergrowth Leopard,common,0.05,0.104167,0.0052083500000000005
Rebellious Strike,common,0.04,0.104167,0.00416668
Thornwood Falls,common,0.04,0.104167,0.00416668
Tranquil Cove,common,0.04,0.104167,0.00416668
Summit Intimidator,common,0.05,0.104167,0.0052083500000000005
Bearer of Glory,common,0.03,0.104167,0.0031250099999999997
Wingspan Stride,common,0.03,0.104167,0.0031250099999999997
Piercing Exhale,common,0.03,0.104167,0.0031250099999999997
Sibsig Appraiser,common,0.05,0.104167,0.0052083500000000005
Synchronized Charge,uncommon,0.1,0.03,0.003
Purging Stormbrood // Absorb Essence,uncommon,0.05,0.03,0.0015
Riverwheel Sweep,uncommon,0.07,0.03,0.0021000000000000003
Inevitable Defeat,rare,0.34,0.016667,0.005666780000000001
Watcher of the Wayside,common,0.02,0.104167,0.00208334
